,ID,GENDER,RACE_ETHNICITY,PARENTAL_LEVEL_OF_EDUCATION,LUNCH,TEST_PREPARATION_COURSE,MATH_SCORE,READING_SCORE,WRITING_SCORE,TOTAL_SCORE
494,286,male,group E,associate's degree,standard,completed,97,82,88,267
495,820,female,group A,some high school,standard,completed,85,90,92,267
496,306,male,group E,some college,standard,completed,99,87,81,267
497,815,male,group B,some high school,standard,completed,94,86,87,267
498,514,female,group B,master's degree,free/reduced,completed,77,97,94,268
499,614,female,group A,associate's degree,standard,none,82,93,93,268
500,420,female,group C,associate's degree,free/reduced,completed,82,93,93,268
501,125,female,group B,high school,standard,none,87,95,86,268
502,652,female,group D,some college,standard,completed,85,86,98,269
503,397,female,group C,associate's degree,standard,none,85,89,95,269
504,732,female,group C,some college,standard,completed,87,89,94,270
505,276,female,group C,some high school,standard,completed,85,92,93,270
506,334,female,group C,bachelor's degree,standard,none,83,93,95,271
507,474,female,group B,associate's degree,standard,completed,90,90,91,271
508,755,female,group E,associate's degree,standard,none,84,95,92,271
509,121,male,group B,associate's degree,standard,completed,91,89,92,272
510,501,female,group B,associate's degree,standard,completed,94,87,92,273
511,580,female,group D,some high school,standard,none,81,97,96,274
512,122,female,group C,some college,standard,completed,88,93,93,274
513,104,male,group C,some college,standard,completed,98,86,90,274
514,612,male,group C,bachelor's degree,standard,completed,94,90,91,275
515,268,female,group D,associate's degree,standard,completed,88,92,95,275
516,6,female,group B,some college,standard,completed,88,95,92,275
517,934,male,group C,associate's degree,standard,completed,98,87,90,275
518,373,female,group D,some college,standard,completed,82,97,96,275
519,539,male,group A,associate's degree,standard,completed,97,92,86,275
520,503,female,group E,associate's degree,standard,completed,95,89,92,276
521,802,female,group E,associate's degree,standard,none,87,94,95,276
522,229,female,group C,some college,standard,completed,88,95,94,277
523,2,female,group B,master's degree,standard,none,90,95,93,278
524,919,male,group B,some college,standard,completed,91,96,91,278
525,562,male,group C,bachelor's degree,standard,completed,96,90,92,278
526,571,male,group A,bachelor's degree,standard,none,91,96,92,279
527,979,female,group C,associate's degree,standard,none,91,95,94,280
528,377,female,group D,master's degree,free/reduced,completed,85,95,100,280
529,864,male,group C,associate's degree,standard,none,97,93,91,281
530,623,male,group A,some college,standard,completed,100,96,86,282
531,263,female,group E,high school,standard,none,99,93,90,282
532,381,male,group C,associate's degree,standard,completed,87,100,95,282
533,995,female,group E,master's degree,standard,completed,88,99,95,282
534,403,female,group D,high school,standard,completed,88,99,100,287
535,106,female,group D,master's degree,standard,none,87,100,100,287
536,886,female,group E,associate's degree,standard,completed,93,100,95,288
537,546,female,group A,some high school,standard,completed,92,100,97,289
538,970,female,group D,bachelor's degree,standard,none,89,100,100,289
539,451,female,group E,some college,standard,none,100,92,97,289
540,855,female,group B,bachelor's degree,standard,none,97,97,96,290
541,717,female,group C,associate's degree,standard,completed,96,96,99,291
542,594,female,group C,bachelor's degree,standard,completed,92,100,99,291
543,566,female,group E,bachelor's degree,free/reduced,completed,92,100,100,292
544,957,female,group D,master's degree,standard,none,92,100,100,292
545,903,female,group D,bachelor's degree,free/reduced,completed,93,100,100,293
546,685,female,group E,master's degree,standard,completed,94,99,100,293
547,149,male,group E,associate's degree,free/reduced,completed,100,100,93,293
548,165,female,group C,bachelor's degree,standard,completed,96,100,100,296
549,625,male,group D,some college,standard,completed,100,97,99,296
550,179,female,group D,some high school,standard,completed,97,100,100,297
551,712,female,group D,some college,standard,none,98,100,99,297
552,114,female,group E,bachelor's degree,standard,completed,99,100,100,299
553,962,female,group E,associate's degree,standard,none,100,100,100,300
554,458,female,group E,bachelor's degree,standard,none,100,100,100,300
555,916,male,group E,bachelor's degree,standard,completed,100,100,100,300
